id,system_change_type,system_similarity,system_match_score,system_alignment_method,word_change_ratio
49,Added,,,identifier,1.0
50,Added,,,identifier,1.0
51,Significant Change,0.57,,identifier,0.9141
52,Unchanged,1.0,,identifier,0.0
53,Significant Change,0.4527,,identifier,0.9874
54,Unchanged,1.0,,identifier,0.0
55,Added,,,identifier,1.0
56,Removed,,,identifier,1.0
57,Minor Edit,0.9775,,identifier,0.2218
58,Unchanged,1.0,,identifier,0.0
59,Minor Edit,0.9802,,identifier,0.21
60,Added,,,identifier,1.0
61,Minor Edit,0.8585,,identifier,0.6258
62,Removed,,,identifier,1.0
63,Minor Edit,0.9896,,identifier,0.0759
64,Minor Edit,1.0,,identifier,0.1912
65,Removed,,,identifier,1.0
66,Minor Edit,0.9877,,identifier,0.092
67,Unchanged,1.0,,identifier,0.0
68,Significant Change,0.2845,,identifier,0.9036
69,Unchanged,1.0,,identifier,0.0
70,Added,,,identifier,1.0
71,Added,,,identifier,1.0
72,Significant Change,0.4417,,identifier,0.9648
73,Added,,,identifier,1.0
74,Removed,,,identifier,1.0
75,Significant Change,0.3872,,identifier,0.9643
76,Minor Edit,0.9951,,identifier,0.1333
77,Removed,,,identifier,1.0
78,Unchanged,1.0,,identifier,0.0
79,Significant Change,0.65,,identifier,0.9128
80,Unchanged,0.9979,,identifier,0.016
81,Unchanged,1.0,,identifier,0.0
82,Significant Change,0.7153,,identifier,0.8514
83,Significant Change,0.5455,,identifier,0.9455
84,Minor Edit,0.9975,,identifier,0.2811
85,Removed,,,identifier,1.0
86,Added,,,identifier,1.0
87,Unchanged,1.0,,identifier,0.0
88,Removed,,,identifier,1.0
89,Added,,,identifier,1.0
90,Unchanged,1.0,,identifier,0.0
91,Removed,,,identifier,1.0
92,Added,,,identifier,1.0
93,Added,,,identifier,1.0
94,Added,,,identifier,1.0
95,Minor Edit,0.9928,,identifier,0.2817
96,Significant Change,0.3483,,identifier,0.9693
97,Minor Edit,0.9643,,identifier,0.3827
98,Significant Change,0.7005,,identifier,0.8791
99,Unchanged,1.0,,identifier,0.0
100,Added,,,identifier,1.0
101,Minor Edit,0.9499,,identifier,0.5295
102,Minor Edit,0.9188,,identifier,0.451
103,Minor Edit,0.9652,,identifier,0.537
104,Unchanged,0.9923,,identifier,0.0381
105,Minor Edit,0.9451,,identifier,0.1687
106,Added,,,identifier,1.0
107,Added,,,identifier,1.0
108,Significant Change,0.442,,identifier,0.9565
109,Unchanged,1.0,,identifier,0.0
110,Unchanged,0.999,,identifier,0.0167
111,Minor Edit,0.9638,,identifier,0.0938
112,Unchanged,1.0,,identifier,0.0
113,Added,,,identifier,1.0
114,Unchanged,1.0,,identifier,0.0
115,Minor Edit,0.8927,,identifier,0.8701
116,Unchanged,1.0,,identifier,0.0
117,Unchanged,1.0,,identifier,0.0
118,Added,,,identifier,1.0
119,Unchanged,1.0,,identifier,0.0
120,Unchanged,0.9936,,identifier,0.0222
121,Significant Change,0.2482,,identifier,0.9643
122,Unchanged,1.0,,identifier,0.0
123,Minor Edit,0.9792,,identifier,0.1957
124,Added,,,identifier,1.0
125,Added,,,identifier,1.0
126,Added,,,identifier,1.0
127,Unchanged,1.0,,identifier,0.0
128,Significant Change,0.2813,,identifier,0.9902
129,Minor Edit,0.9312,,identifier,0.4262
130,Minor Edit,0.8577,,identifier,0.483
131,Unchanged,1.0,,identifier,0.0
132,Added,,,identifier,1.0
133,Unchanged,1.0,,identifier,0.0
134,Unchanged,1.0,,identifier,0.0
135,Significant Change,0.6811,,identifier,0.8182
136,Unchanged,0.9957,,identifier,0.0278
137,Unchanged,0.9999,,identifier,0.0159
138,Unchanged,1.0,,identifier,0.0
139,Added,,,identifier,1.0
140,Minor Edit,0.9893,,identifier,0.3158
141,Unchanged,1.0,,identifier,0.0
142,Removed,,,identifier,1.0
143,Significant Change,0.3134,,identifier,0.9293
144,Unchanged,1.0,,identifier,0.0
145,Added,,,identifier,1.0
146,Minor Edit,0.9677,,identifier,0.2881
147,Minor Edit,0.998,,identifier,0.0816
148,Significant Change,0.5204,,identifier,0.9618
149,Unchanged,1.0,,identifier,0.0
