id,clause_v1,clause_v2,section,text_v1,text_v2,annotator_change_type,annotator_alignment_ok,annotator_notes
10,Diagram 16.1,Diagram 16.1,Section 16 Venting of heat and smoke from,Fire resisting construction for smoke outlet shafts B5 Construction of outlet ducts or shafts,"Fire resisting construction for smoke outlet shafts 114 Approved Document B Volume 1, 2019 edition B5 Construction of outlet ducts or shafts",,,
11,Appendix F,,Appendix F Standards referred to,"Standards referred to European Standards BS EN 1634 Fire resistance and smoke control tests for door and shutter assemblies, openable windows and elements of building hardware NOTE: All the British and European Standards can be purchased at the following address: https:// shop.bsigroup.com/. Alternatively access to the British and European Standards may be gained at public reference libraries. BS EN 1634-1 Fire resistance test for door and shutter assemblies and openable windows [2014 + A1 2018] BS EN 1634-2 Fire resistance characterisation test for elements of building hardware [2008] BS EN 54 Fire detection and fire alarm systems BS EN 54-7 Smoke detectors. Point smoke detectors that operate using scattered light, transmitted light or ionization [2018] BS EN 1634-3 Smoke control test for door and shutter assemblies [2004] BS EN 1993-1-2 Eurocode 3. Design of steel structures. General rules. Structural fire design [2005] BS EN 54-11 Manual call points [2001] BS EN 81 Safety rules for the construction and installation of lifts BS ISO 3864-1 Graphical symbols. Safety colours and safety signs. Design principles for safety signs and safety markings [2011] BS EN 81-20 Lifts for the tr…",,,,
12,Diagram 11.5,Diagram 11.5,Section 11 Resisting fire spread from one,Small unprotected areas that may be disregarded in assessing the separation distance from the boundary Canopies,"). See para 11.7 b Area of fre resisting wall with materials more than 1mm thick and with a reaction to fre performance worse than class B-s3, d2 = a ̃b Area of wall counted as unprotected area = 0.5a ̃b Area of fre resisting wall with materials having a reaction to fre performance better than class B-s3, d2 a",,,
13,Diagram 5.1,Diagram 5.1,Appendix G Documents referred to,"Fire doors between dwellinghouse and garage 5.7, Flats 7.5-7.18 Junction with compartment floor 7.14 Junction with other walls 7.12-7.13 Junction with roof 5.11-5.15, 7.15-7.18, Diagram 5.2 Openings 5.9, 7.6, 7.19-7.20 Flues penetrating 9.23, Diagram 9.5 Maximum door openings Appendix C8 Nominal internal diameter of pipes passing","On escape routes 3.90-3.98 Alternative exits 3.22 External escape stairs 3.68 External means of escape 2.10 through Table 9.1 Provision 5.5 Flats 7.1 Separated parts of buildings 7.9 Concealed spaces Basement storeys 3.9 Flats 3.6 Fire resistance 3.68, 3.87 Fire resisting construction 2.17, Diagram 2.7 Glazed elements 3.88 Loft conversions 2.21-2.23 Openings in cavity barriers 5.24, 8.3 Openings in compartment walls or foors See Cavities Conduits for cables Openings in cavity barriers 5.24 Openings in fre resisting elements 9.24 Cooking facilities 7.19-7.20 Vision panels 3.97 Width measurement Appendix D4, Diagram D1 See also Automatic doors; Fire doorsets Double‐skinned insulated roof sheeting 7.17 Cavity barriers 8.7, Diagram 8.4 Junction of compartment wall with roof 5.14, Loft conversions 2.23 Room containing a gallery Diagram 2.6,",,,
14,3.38,3.38,"Appendix C , Table C1.",Escape routes should have a minimum clear headroom of 2m. The only projections allowed below this height are door frames. Flooring of common escape routes,"Common corridors should be protected corridors. The wall between each flat and the corridor should be a compartment wall (minimum REI 30 where the top storey is up to 5m above ground level, otherwise REI 60).",,,
15,3.48,3.48,"Appendix C , Table C1.","Guidance on cables for large and complex buildings is given in BS 5839-1, BS 5266-1 and BS 8519. Smoke control in common escape routes","Guidance on cables for large and complex buildings is given in BS 5839-1, BS 5266-1 and BS 8519. B1 Effective until 29 September 2026 - see 2026 amendment, below Smoke control in common escape routes",,,
16,Appendix C,Appendix C,Appendix C,"b. Pipes, ventilation ducts, service cables, chimneys, appliance ventilation ducts or ducts encasing one or more flue pipes, complying with the provisions in Section 9. c. Refuse chutes of class A1 construction. d. Atria designed in accordance with Annexes B and C of BS 9999. e. Protected shafts that conform to the provisions in the following paragraphs. Protected shafts","b. Pipes, ventilation ducts, service cables, chimneys, appliance ventilation ducts or ducts encasing one or more flue pipes, complying with the provisions in Section 9. c. Refuse chutes of class A1 construction. d. Atria designed in accordance with Annexes B and C of BS 9999. e. Protected shafts that conform to the provisions in the following paragraphs. Protected shafts",,,
17,Table 0.1,Table 0.1,Appendix G Documents referred to,"Atria 7.20 Means of escape from inner rooms 2.12, 3.8 Accreditation Automatic doors 3.98 Installers and suppliers page iii, Appendix B5 Air changes See also Automatic release mechanisms; Self- closing devices Automatic fire detection and alarm systems See Ventilation Air circulation systems for heating, etc. See Fire detection and alarm systems Automatic release mechanisms Dwellinghouses with a floor more than 4.5m above ground level 2.8-2.9 Multi-storey flats 3.23 Air conditioning 9.6-9.17 Fire and smoke dampers 9.14, 9.22 Fire safety signs Appendix C11 Self-closing fire doors Appendix C6 See also Self-closing devices B See also Ventilation Air exhaust terminals 9.6 Alarm systems See Fire detection and alarm systems Alterations Material alteration 1.8-1.9 Alternative approaches 0.9 Alternative escape routes Back gardens Means of escape 2.10, Diagram 2.5 Balconies Cavity barriers 8.6 Dwellinghouses with floor more than 4.5m above Escape routes 3.29 Means of escape 2.14, 3.11-3.12 See also Common balconies Basement storeys ground level 2.5-2.6 Flats 3.26-3.27, 3.59 Alternative exits Escape stairs 3.82 Firefighting shafts 15.3 Fire resistance Appendix B27, Table B4 Lifts 3.102, 3.10…","Atria 7.20 Automatic doors 3.98 See also Automatic release mechanisms; Self- closing devices Automatic fre detection and alarm systems Means of escape from inner rooms 2.12, 3.8 Accreditation Installers page iii, Appendix B5 Air changes See Ventilation Air circulation systems for heating, etc. See Fire detection and alarm systems Automatic release mechanisms Dwellinghouses with a foor more than 4.5m above ground level 2.8-2.9 Multi-storey fats 3.23 Air conditioning 9.6-9.17 Fire and smoke dampers 9.14, 9.22 Fire safety signs Appendix C11 Self-closing fre doors Appendix C6 See also Self-closing devices B See also Ventilation Air exhaust terminals 9.6 Alarm systems See Fire detection and alarm systems Alterations Back gardens Material alteration 1.8-1.9 Alternative approaches 0.9 Alternative escape routes Means of escape 2.10, Diagram 2.5 Balconies Cavity barriers 8.6 Dwellinghouses with foor more than 4.5m above Escape routes 3.29 Resisting fre spread 10.10-10.11 Means of escape 2.14, 3.11-3.12 See also Common balconies Basement storeys ground level 2.5-2.6 Flats 3.26-3.27, 3.59 Alternative exits Escape stairs 3.82 Firefghting shafts 15.3 Fire resistance Appendix B26, Table B2 Lift…",,,
18,Table B3,Table B3,"Appendix B Performance of materials,","Continued Part of building provisions when tested to the relevant European standard (minutes)(1) Alternative minimum provisions when tested to the relevant part of BS 476(2) (minutes) Type of exposure Loadbearing capacity(3) Integrity Insulation 5. External walls a. any part a maximum REI see Table B4 of 1000mm from any point on the relevant boundary(6) b. any part a minimum RE see Table B4 and REI 15 15 min From inside the building of 1000mm from the relevant boundary(6) c. any part beside an RE 30 30 min 30 min No provision(7) (8) From inside the building external escape route (Section 2,
Diagram 2.7 and","sets out limitations on the use of uninsulated fire resisting glazed elements. B24 This document uses the European classification system (REI) for fire resistance set out in BS EN 13501-2 to 4. Fire resistance is expressed as REI X, where X is the period of fire resistance in minutes in terms of loadbearing capacity (R), integrity (E) and insulation (I). Products or systems cannot typically assume a European class unless they have been tested and classified accordingly. B25 Products or systems achieving the European classification (REI) should be specified wherever possible. However, there may be some products or systems that have been assessed as being capable of meeting a fire resistance performance classification. When assessed, products or systems should follow the relevant test standards to indicate their fire resistance performance in terms of loadbearing capacity, integrity and insulation based on the recommendations of paragraphs B1 to B5. In those situations, the performance classifications given in Table B1 and Table B2 may be used. 144 Approved Document B Volume 1, 2019 edition B 2029 amendment - effective from 2 September 2029",,,
19,,Table B1,Appendix C,,"Continued provisions when tested to the relevant European standard (minutes)(1) Alternative minimum provisions when tested to the relevant part of BS 476(2) (minutes) Type of exposure 1. BS EN 13501-2 Classification using data from fire resistance tests, excluding ventilation services. BS EN 13501-3 Classification using data from fire resistance tests on products and elements used in building service installations: fire resisting ducts and fire dampers. BS EN 13501-4 Classification using data from fire resistance tests on components of smoke control systems. In the European classification: 'R' is the resistance to fire in terms of loadbearing capacity. 'E' is the resistance to fire in terms of integrity. 'I' is the resistance to fire in terms of insulation. The national classifications do not automatically equate with the alternative classifications in the European column, therefore products cannot typically assume a European class unless they have been tested accordingly. 2. BS 476-20 for general principles, BS 476-21 for loadbearing elements, BS 476-22 for non-loadbearing elements, BS 476-23 for fire-protecting suspended ceilings and BS 476-24 for ventilation ducts. 3. Applies t…",,,
20,3.109,,"Appendix C , Table C1.","Final exits should avoid outlets of basement smoke vents and openings to transformer chambers, refuse chambers, boiler rooms and similar risks. B2",,,,
21,Table B4,,Requirement B1 page 8,"Loft conversions 2.23 Multi-storey flats 3.21, 7.4 Portal frames 11.15 Provision Appendix E2 to E4 Water supplies and pumps Appendix E5 to E6 Definition of walls 4.3 Slates and tiles Fire-stopping of junctions 5.22 Sleeving for pipes 9.5, Diagram 9.2 Sloping floors 3.40 164 Approved Document B Volume 1, 2019 edition Stability T B3 requirement page 49 See also Integrity Stairs Tension-membrane roofs and structures 4.9 Terrace houses Width measurement Appendix D4 See also Common stairs; Escape stairs; Protected B3 requirement page 49, 5.5 Thatch 12.9 Thermal radiation stairways Standard fire tests See Heat radiation Thermoplastic materials See Fire performance Standby power supplies 1.4 Storage and other non-residential purpose Classification Appendix B13 Fire performance Appendix B11 to B14 Glazing 4.13 Insulated roof sheeting 5.14 Lighting diffusers group Table 0.1 Storey exits 2.13, 3.10, 3.30, 3.35, Diagram 2.5 Storeys Height of top storey Diagram D6 Number Diagram D5 Stretched-skin ceilings Forming part of a ceiling 4.15-4.16, Diagram 4.1 Layout restrictions Diagrams 4.2 to 4.3 Suspended ceilings 4.17, Appendix B12, Table 4.2 Rooflights 4.14, 5.12 Thermoplastic material 4.17 St…",,,,
22,12.1,12.1,Section 12 Resisting fire spread over roof,"'Roof covering' describes one or more layers of material, but not the roof structure as a whole.","'Roof covering' describes one or more layers of material, but not the roof structure as a whole.",,,
23,,10.21,Section 10 Resisting fire spread over,,"Particular attention is drawn to the following points. a. Membranes used as part of the external wall construction above ground level should achieve a minimum of class B-s3, d0. Roofng membranes do not need to achieve a minimum of class A2 s1, d0 when used as part of a roof connecting to an external wall. b. Internal linings should comply with the guidance provided in Section 4. c. Any part of a roof should achieve the minimum performance as detailed in Section 12. d. As per regulation 7(3), window frames and glass (including laminated glass) are exempted from regulation 7(2). Window spandrel panels and infll panels must comply with regulation 7(2). e. Thermal breaks are small elements used as part of the external wall construction to restrict thermal bridging. There is no minimum performance for these materials. However, they should not span two compartments and should be limited in size to the minimum required to restrict the thermal bridging (the principal insulation layer is not to be regarded as a thermal break). f. Regulation 7(2) only applies to specifed attachments. Shop front signs and similar attachments are not covered by the requirements of regulation 7(2), although at…",,,
24,3.100,,"Appendix C , Table C1.",A lift well connecting different compartments should form a protected shaft (see Section 7).,,,,
25,3.60,3.60,"Appendix C , Table C1.","A stair of acceptable width for everyday use will be sufficient for escape purposes. If it is also a firefighting stair, it should be at least 1100mm wide. The width is the clear width between the walls or balustrades. Any handrails and strings intruding into that width by a maximum of 100mm on each side may be ignored. Protection of common stairs","A stair of acceptable width for everyday use will be sufficient for escape purposes. If it is also a firefighting stair, it should be at least 1100mm wide. The width is the clear width between the walls or balustrades. Any handrails and strings intruding into that width by a maximum of 100mm on each side may be ignored. 2026 amendment - effective from 30 September 2026 Design and construction of common stairs",,,
26,Diagram D7,Diagram D7,Requirement B1 page 8,"Mechanical 16.11-16.12 Natural 16.5-16.10 Outlet ducts or shafts 16.13-16.14 Provision 16.1-16.12 Space separation See Openings Shafts See Separation distances Specified attachments 10.9-10.15 See Firefighting shafts; Protected shafts Sheltered housing 0.11, 0.17 Spiral stairs 3.86 Sprinkler systems Appendix E Central alarm monitoring 1.12 Fire detection and alarm systems 1.12-1.13 Shop and commercial purpose group Table 0.1 Showers Basement storeys 16.11 As a compensatory feature Appendix E4 Dwellinghouses with floor more than 4.5m above Inner rooms 2.11, 3.7 Single storey buildings Appendix B26 to B27 ground level 2.6 Effect on boundary distance and permitted Minimum periods of fire resistance Table B4 Site (of a building) unprotected area 11.21 Effect on hose laying distance 15.7, Diagram 15.3 Effect on minimum periods of fire resistance Skirtings","Mechanical 16.11-16.12 Natural 16.5-16.10 Outlet ducts or shafts 16.13-16.14 Provision 16.1-16.12 Solar shading devices 10.18-10.19 Space separation See Elements of structure Student accommodation Fire detection and alarm systems 1.11 Stud walls Cavity barriers 5.21 See also Partitions Substrates Fire tests Appendix B8 Lining to wall or ceiling Appendix B13 Roof coverings 5.13, 7.16, Diagram 5.2 Suspended ceilings See Separation distances Specifed attachments 10.13-10.17 Spiral stairs 3.86 Sprinkler systems Appendix E Insulating core panels 4.10 Lighting difusers 4.15-4.16, Appendix B11, Basement storeys 16.11 As a compensatory feature Appendix E4 Dwellinghouses with foor more than 4.5m above Diagrams 4.1 to 4.3, Table 4.2 Thermoplastic material 4.17 ground level 2.6 Efect on boundary distance and permitted unprotected area 11.21 190 Approved Document B Volume 1, 2019 edition T U Tension‐membrane roofs and structures 4.9 Terrace houses Unprotected areas Areas disregarded in assessing separation distance 11.11, Diagram 11.5 Calculation of acceptable unprotected area 11.16-11.20, Table 11.1 Efect of sprinkler systems 11.21 Defnition 11.6-11.7, Appendix A External wall 1000mm or more…",,,
27,11.13,11.13,Section 11 Resisting fire spread from one,"Space separation may be disregarded if a canopy is all of the following. a. Free-standing. b. Above a limited risk or controlled hazard. c. A minimum of 1000mm from the relevant boundary. B4 See para 11.12 Loading bay arrangement Canopy arrangement 2m min. Canopy 2m min. Relevant boundary Relevant boundary Loading platform Building line Distance to relevant boundary measured from building line Building line Distance to relevant boundary measured from building line NOTE: Projections from the building line, such as a canopy or a loading platform, can be ignored when assessing separation distance. This does not apply where the canopy is enclosed by side walls.
Diagram 11.6 The effect of a canopy on separation distance Roofs","Space separation may be disregarded if a canopy is all of the following. a. Free-standing. b. Above a limited risk or controlled hazard. c. A minimum of 1000mm from the relevant boundary. B4 See para 11.12 Canopy arrangement Loading bay arrangement 2m min. Canopy 2m min. Relevant boundary Relevant Loading platform boundary Building line Distance to Distance to Building line relevant boundary measured from building line relevant boundary measured from building line NOTE: Projections from the building line, such as a canopy or a loading platform, can be ignored when assessing separation distance. This does not apply where the canopy is enclosed by side walls.
Diagram 11.6 The effect of a canopy on separation distance Roofs",,,
28,,Table B2,Appendix C,,"Minimum periods of fire resistance Purpose group of building Minimum periods of fire resistance(1) (minutes) in a: Basement storey* Ground or upper storey including floor over Depth (m) of the lowest Height (m) of top floor above ground, in a building or basement separated part of a building Up to 10 Up to 5 Up to 11 Up to 18 Up to 30 1. Residential: a. Block of flats 90 min 60 min 30 min† 60 min+§ Not Not Not permitted(2) permitted(2) permitted(2) - with sprinkler system(3) 90 min 60 min 30 min† 60 min+§ 60 min+§ 90 min+ 120 min+ b. and c. Dwellinghouse Not 30 min*† 30 min† 60 min(5) 60 min(5) Not Not applicable(4) applicable(4) applicable(4) 2. Residential a. Institutional 90 min 60 min 30 min† 60 min 60 min 90 min 120 min‡ b. Other residential 90 min 60 min 30 min† 60 min 60 min 90 min 120 min‡ 3. Office: 90 min 60 min 30 min† 60 min 60 min 90 min Not - with sprinkler system(3) 60 min 60 min 30 min† 30 min† 30 min† 60 min 120 min‡ 4. Shop and commercial: 90 min 60 min 60 min 60 min 60 min 90 min Not - with sprinkler system(3) 60 min 60 min 30 min† 60 min 60 min 60 min 120 min‡ 5. Assembly and recreation: 90 min 60 min 60 min 60 min 60 min 90 min Not - with sprinkler system(3) 6…",,,
29,Appendix F,Appendix F,Appendix F Standards referred to,"(standards) or Appendix G (other documents). However, if the issuing body has revised or updated the listed version of the standard or document, you may use the new version as guidance if it continues to address the relevant requirements of the Building Regulations. d. Standards and technical approvals also address aspects of performance or matters that are not covered by the Building Regulations and may recommend higher standards than required by the Building Regulations. Nothing in this approved document precludes you from adopting higher standards. User requirements The approved documents provide technical guidance. Users of the approved documents should have adequate knowledge and skills to understand and apply the guidance correctly to the building work being undertaken. Where you can get further help If you are not confident that you possess adequate knowledge and skills to apply the guidance correctly or if you do not understand the technical guidance or other information in this approved document or the additional detailed technical references to which it directs you, you should seek further help. Help can be obtained through a number of routes, some of which are listed be…","Standards referred to European Standards BS EN 1634-1 Fire resistance test for door and shutter assemblies and openable windows [2014 + A1 2018] NOTE: All the British and European Standards can be purchased at the following address: https:// shop.bsigroup.com/. Alternatively access to the British and European Standards may be gained at public reference libraries. BS EN 1634-2 Fire resistance characterisation test for elements of building hardware [2008] BS EN 1634-3 Smoke control test for door and shutter assemblies [2004] BS EN 54 Fire detection and fire alarm systems BS EN 1993-1-2 Eurocode 3. Design of steel structures. General rules. Structural fire design [2005] BS EN 54-7 Smoke detectors. Point smoke detectors that operate using scattered light, transmitted light or ionization [2018] BS ISO 3864-1 Graphical symbols. Safety colours and safety signs. Design principles for safety signs and safety markings [2011] BS EN 54-11 Manual call points [2001] BS EN 81 Safety rules for the construction and installation of lifts BS EN 12101 Smoke and heat control systems BS EN 12101-2 Natural smoke and heat exhaust ventilators [2017] BS EN 81-20 Lifts for the transport of persons and goods…",,,
30,5.15,5.15,Section 5 Internal fire spread - dwellinghouses,"As an alternative to the provisions of paragraphs 5.12 to 5.14, the compartment wall may extend through the roof for a minimum of either of the following (see Diagram 5.2c). a. Where the height difference between the two roofs is less than 375mm, 375mm above the top surface of the adjoining roof covering. b. 200mm above the top surface of the adjoining roof covering where either of the following applies. i. The height difference between the two roofs is 375mm or more. ii. The roof coverings either side of the wall are of a material classified as BROOF(t4). B3 See paras 5.12 to 5.15 a. ANY BUILDING OR COMPARTMENT Roof covering over this distance to be designated BROOF(t4) rated on deck of material of class A2-s3, d2 or better. Roof covering and deck could be composite structure, e.g. profiled steel cladding. 1500mm 1500mm Double-skinned insulated roof sheeting should incorporate a band of material rated class A2-s3, d2 or better, a minimum of 300mm in width, centred over the wall. If roof support members pass through the wall, fire protection to these members for a distance of 1500mm on either side of the wall may be needed to delay distortion at the junction (see paragraph 5.9). W…","As an alternative to the provisions of paragraphs 5.12 to 5.14, the compartment wall may extend through the roof for a minimum of either of the following (see Diagram 5.2c). a. Where the height difference between the two roofs is less than 375mm, 375mm above the top surface of the adjoining roof covering. b. 200mm above the top surface of the adjoining roof covering where either of the following applies. i. The height difference between the two roofs is 375mm or more. ii. The roof coverings either side of the wall are of a material classified as BROOF(t4). B3 See paras 5.12 to 5.15 a. ANY BUILDING OR COMPARTMENT Roof covering over this distance to be designated BROOF(t4) rated on deck of material of class A2-s3, d2 or better. Roof covering and deck could be composite structure, e.g. profled steel cladding. 1500mm 1500mm Double-skinned insulated roof sheeting should incorporate a band of material rated class A2-s3, d2 or better, a minimum of 300mm in width, centred over the wall. If roof support members pass through the wall, fre protection to these members for a distance of 1500mm on either side of the wall may be needed to delay distortion at the junction (see paragraph 5.9). Wal…",,,
